track_genre,n,mean,median,std
ambient,944,44.35699152542373,50.0,17.876585687987212
sleep,946,34.84249471458774,35.0,20.48619438896106
cantopop,944,34.76588983050848,35.0,13.644760633248394
malay,945,30.098412698412698,28.0,10.477470159937516
disney,943,27.37645811240721,23.0,11.902441245877512
bluegrass,947,25.625131995776137,24.0,7.903749869958654
afrobeat,940,24.22127659574468,21.0,10.273469168815561
black-metal,944,22.407838983050848,19.0,9.345494260951067
tango,944,19.8739406779661,19.0,4.819542990249725
chicago-house,940,12.37659574468085,9.0,9.712846532285296
