genre_1,genre_2,U_stat,p_value_raw,p_value_holm
cantopop,chicago-house,818563.5,1.7606795887538365e-221,7.923058149392264e-220
malay,chicago-house,811485.5,2.1229490871708572e-212,9.340975983551771e-211
disney,chicago-house,800756.5,4.290733544216786e-202,1.8450154240132178e-200
bluegrass,chicago-house,799203.0,3.9991603713644053e-197,1.6796473559730502e-195
ambient,chicago-house,788719.0,6.177200434361459e-188,2.5326521780881983e-186
tango,ambient,104650.5,1.7695959474442468e-182,7.078383789776987e-181
black-metal,chicago-house,777295.5,3.135875913541699e-176,1.2229916062812627e-174
afrobeat,chicago-house,772349.5,7.2258347646545655e-174,2.745817210568735e-172
tango,chicago-house,761209.0,1.0133622739630997e-159,3.7494404136634685e-158
ambient,black-metal,763493.0,4.399361388471135e-159,1.5837700998496086e-157
tango,cantopop,133813.0,3.8291998523320014e-153,1.3402199483162005e-151
malay,tango,748877.5,2.188835659508095e-144,7.442041242327524e-143
ambient,afrobeat,744802.0,1.2582404412848882e-143,4.152193456240131e-142
bluegrass,ambient,147811.5,2.4594975998874734e-140,7.870392319639915e-139
bluegrass,tango,727855.5,2.2791699075735605e-124,7.065426713478038e-123
black-metal,cantopop,166087.5,1.3077439437906805e-123,3.923231831372041e-122
sleep,tango,711345.5,1.1066515235795785e-110,3.2092894183807777e-109
ambient,disney,708959.0,3.16015526628121e-110,8.848434745587388e-109
bluegrass,black-metal,704634.5,6.170766713798001e-105,1.6661070127254603e-103
malay,ambient,190248.0,2.466515881733603e-103,6.4129412925073674e-102
malay,black-metal,698619.0,3.925683240632677e-101,9.814208101581692e-100
sleep,chicago-house,686533.0,3.3946293541539585e-93,8.1471104499695e-92
bluegrass,sleep,218240.5,2.4147023842843868e-83,5.55381548385409e-82
cantopop,afrobeat,664605.5,2.724880239290723e-78,5.99473652643959e-77
tango,disney,227613.0,7.74494236263791e-76,1.6264378961539613e-74
sleep,black-metal,650648.5,1.44433819660079e-66,2.8886763932015803e-65
black-metal,disney,246909.0,2.1104295694590304e-63,4.009816181972158e-62
sleep,afrobeat,641755.5,1.5822789977633683e-62,2.848102195974063e-61
ambient,cantopop,637391.5,4.90123314647634e-59,8.332096349009779e-58
malay,afrobeat,622327.0,1.7555786548391835e-51,2.8089258477426936e-50
sleep,disney,618009.5,8.706589916881334e-48,1.3059884875322e-46
cantopop,disney,593873.5,2.4748598901454344e-36,3.464803846203608e-35
bluegrass,cantopop,299777.5,2.111400834734716e-35,2.744821085155131e-34
sleep,ambient,309201.0,4.608332760324053e-31,5.5299993123888634e-30
sleep,malay,583687.0,9.914590691455311e-31,1.0906049760600842e-29
bluegrass,afrobeat,576460.0,9.864177363149675e-29,9.864177363149674e-28
bluegrass,malay,328030.0,7.600254371976035e-24,6.840228934778432e-23
malay,disney,555568.5,1.4299603416506567e-20,1.1439682733205254e-19
tango,afrobeat,336569.0,8.726447588789651e-20,6.108513312152756e-19
disney,afrobeat,541014.5,9.693015021589581e-17,5.815809012953749e-16
malay,cantopop,362033.0,1.3320359186586124e-12,6.660179593293062e-12
black-metal,afrobeat,366984.0,6.765178254320572e-11,2.706071301728229e-10
bluegrass,disney,496773.0,2.1608455414065685e-05,6.482536624219705e-05
sleep,cantopop,473282.0,0.02390774245703624,0.04781548491407248
tango,black-metal,426973.0,0.11431804195547307,0.11431804195547307
