feature,method,corr,p_value,normality_p_feature,abs_corr
instrumentalness,Spearman,-0.11815521025032515,6.246389739064411e-261,1.209734929408442e-76,0.11815521025032515
loudness,Spearman,0.06657103485877432,8.429443308000038e-84,1.2970479703866952e-56,0.06657103485877432
speechiness,Spearman,-0.06430100132993855,2.6802290310704812e-78,2.3419749804427965e-79,0.06430100132993855
danceability,Spearman,0.05362667555484917,5.487606112407805e-55,1.1279748328582147e-21,0.05362667555484917
time_signature,Spearman,0.037860932560060664,2.9770343705649632e-28,2.2985952947404523e-83,0.037860932560060664
mode,Spearman,-0.016369688512060478,1.8947796311051743e-06,1.3846245225223724e-72,0.016369688512060478
energy,Spearman,-0.013585400156553634,7.688894184864805e-05,9.019226706550069e-40,0.013585400156553634
liveness,Spearman,-0.012783573987014034,0.00019881891672086363,6.10807945536745e-66,0.012783573987014034
duration_ms,Spearman,0.011595763593146907,0.0007387218196240469,6.3881692157839e-68,0.011595763593146907
tempo,Spearman,0.009125842480138972,0.007909272886535987,2.130725269710719e-19,0.009125842480138972
valence,Spearman,-0.009125570889587547,0.007911126949947311,8.66820533854032e-31,0.009125570889587547
acousticness,Spearman,0.008788050994823063,0.01053953532255003,3.358837015832876e-57,0.008788050994823063
key,Spearman,0.0022289074450478914,0.5165502573364726,2.1349312918498167e-40,0.0022289074450478914
