feature,coef,abs_coef
genre_iranian,-3.277721373977273,3.277721373977273
genre_romance,-3.0110651429714723,3.0110651429714723
genre_detroit-techno,-2.42642103773388,2.42642103773388
genre_k-pop,2.4065406821703235,2.4065406821703235
genre_chicago-house,-2.345796044369058,2.345796044369058
genre_pop-film,2.3365878698796587,2.3365878698796587
genre_latin,-2.3225581536678694,2.3225581536678694
genre_kids,-2.0678732121536894,2.0678732121536894
genre_grindcore,-1.9922519254537112,1.9922519254537112
genre_idm,-1.9137420075131544,1.9137420075131544
genre_chill,1.901392969604488,1.901392969604488
genre_classical,-1.8750854761468518,1.8750854761468518
genre_jazz,-1.7729420747483318,1.7729420747483318
genre_country,-1.7448833829275499,1.7448833829275499
genre_honky-tonk,-1.7336110720332172,1.7336110720332172
genre_breakbeat,-1.5328737040860863,1.5328737040860863
genre_anime,1.493752875487801,1.493752875487801
genre_grunge,1.4688226145914556,1.4688226145914556
genre_emo,1.4106905026307381,1.4106905026307381
genre_tango,-1.403315289655979,1.403315289655979
genre_indian,1.3784626554475055,1.3784626554475055
genre_sertanejo,1.3595226117813342,1.3595226117813342
genre_happy,-1.3372141185141937,1.3372141185141937
genre_dance,-1.2918004194468213,1.2918004194468213
genre_sad,1.2565622987320069,1.2565622987320069
genre_black-metal,-1.2327405337914987,1.2327405337914987
genre_pagode,1.2181155265573855,1.2181155265573855
genre_piano,1.1989187125517966,1.1989187125517966
genre_party,-1.132469097704702,1.132469097704702
genre_ambient,1.110465193619436,1.110465193619436
genre_rock,-1.0788046945666079,1.0788046945666079
valence,-1.0551086518174604,1.0551086518174604
genre_british,1.0530292278597582,1.0530292278597582
genre_deep-house,1.0414490595731203,1.0414490595731203
genre_brazil,1.0367216099192913,1.0367216099192913
genre_latino,1.0361731840030768,1.0361731840030768
genre_afrobeat,-1.0190415499112813,1.0190415499112813
genre_j-idol,-0.9749876533076761,0.9749876533076761
genre_hard-rock,0.9666995464662028,0.9666995464662028
genre_mandopop,0.9476105699122187,0.9476105699122187
genre_progressive-house,0.9471635505674415,0.9471635505674415
genre_opera,-0.8971064194924331,0.8971064194924331
genre_heavy-metal,-0.8711092341049392,0.8711092341049392
genre_alternative,-0.8668057750107864,0.8668057750107864
genre_metalcore,0.8521257877892237,0.8521257877892237
genre_forro,0.8432824012652613,0.8432824012652613
genre_j-dance,-0.8420041223701276,0.8420041223701276
