feature,coef,abs_coef
genre_iranian,-3.1630678534542707,3.1630678534542707
genre_romance,-2.9008366652785114,2.9008366652785114
genre_k-pop,2.5351647596010816,2.5351647596010816
genre_pop-film,2.4614892016602363,2.4614892016602363
genre_detroit-techno,-2.3185284255181697,2.3185284255181697
genre_chicago-house,-2.235007733512132,2.235007733512132
genre_latin,-2.227429679899182,2.227429679899182
genre_chill,2.0312418343446703,2.0312418343446703
genre_kids,-1.9564137422510797,1.9564137422510797
genre_grindcore,-1.8791266982983377,1.8791266982983377
genre_idm,-1.8026922201139863,1.8026922201139863
genre_classical,-1.7656774772555894,1.7656774772555894
genre_jazz,-1.6918467084704847,1.6918467084704847
genre_country,-1.6322764494395465,1.6322764494395465
genre_anime,1.6274494298851807,1.6274494298851807
genre_honky-tonk,-1.618772287402545,1.618772287402545
genre_grunge,1.593731451986469,1.593731451986469
genre_emo,1.5382716742709777,1.5382716742709777
genre_indian,1.49614761039253,1.49614761039253
genre_sertanejo,1.4855887606536613,1.4855887606536613
genre_breakbeat,-1.4212599775265904,1.4212599775265904
genre_sad,1.3573289352142226,1.3573289352142226
genre_pagode,1.3493234733108617,1.3493234733108617
genre_piano,1.3214137207551941,1.3214137207551941
genre_tango,-1.287409184776834,1.287409184776834
genre_ambient,1.2462339469085886,1.2462339469085886
genre_happy,-1.226008084222999,1.226008084222999
genre_dance,-1.1832887136423502,1.1832887136423502
genre_british,1.1819512071180887,1.1819512071180887
genre_deep-house,1.170660091740641,1.170660091740641
genre_brazil,1.1675949824323852,1.1675949824323852
genre_latino,1.121640982090187,1.121640982090187
genre_black-metal,-1.1177677899477683,1.1177677899477683
genre_hard-rock,1.082274767197809,1.082274767197809
valence,-1.0735970193884947,1.0735970193884947
genre_mandopop,1.0725364762612097,1.0725364762612097
genre_progressive-house,1.0611305495459136,1.0611305495459136
genre_party,-1.0292401611371713,1.0292401611371713
genre_rock,-1.0171647691897028,1.0171647691897028
genre_forro,0.9809424174515161,0.9809424174515161
genre_metalcore,0.9683412658023894,0.9683412658023894
genre_electronic,0.9528729074840163,0.9528729074840163
genre_acoustic,0.9447299436393289,0.9447299436393289
genre_afrobeat,-0.9033907080168164,0.9033907080168164
genre_hip-hop,0.863124420884481,0.863124420884481
genre_j-idol,-0.8580364404836639,0.8580364404836639
genre_world-music,0.8286910043677973,0.8286910043677973
genre_singer-songwriter,0.8179816752709432,0.8179816752709432
genre_alternative,-0.799634277857929,0.799634277857929
genre_opera,-0.789663006851121,0.789663006851121
danceability,0.7638932887539267,0.7638932887539267
genre_heavy-metal,-0.7554291980228192,0.7554291980228192
genre_mpb,0.7505962838004281,0.7505962838004281
genre_j-dance,-0.7458281368002811,0.7458281368002811
genre_study,-0.7333911199177601,0.7333911199177601
genre_drum-and-bass,-0.7109603862546585,0.7109603862546585
genre_garage,0.7099074656292756,0.7099074656292756
genre_dub,0.6728196449722099,0.6728196449722099
genre_french,0.6701440846161366,0.6701440846161366
genre_turkish,0.6615424362201535,0.6615424362201535
genre_spanish,0.6500679046534533,0.6500679046534533
genre_bluegrass,-0.6500549596027695,0.6500549596027695
genre_hardstyle,-0.6365660081160821,0.6365660081160821
genre_Other,0.6230747766174578,0.6230747766174578
acousticness,-0.6027847047067085,0.6027847047067085
genre_folk,0.6017981668089808,0.6017981668089808
genre_pop,0.5766724257498328,0.5766724257498328
genre_punk-rock,0.5747333516845051,0.5747333516845051
genre_power-pop,-0.5523200811187174,0.5523200811187174
genre_psych-rock,0.5422358615153127,0.5422358615153127
genre_edm,0.528749042387301,0.528749042387301
genre_disney,-0.5278289818358783,0.5278289818358783
genre_gospel,0.5192532705262407,0.5192532705262407
genre_samba,0.5089024830862464,0.5089024830862464
genre_soul,-0.5060198361790447,0.5060198361790447
genre_comedy,-0.48226199471864106,0.48226199471864106
genre_indie-pop,0.4730642904317829,0.4730642904317829
genre_r-n-b,0.4669532634968261,0.4669532634968261
energy,-0.43913027230832274,0.43913027230832274
genre_goth,-0.4286719870019043,0.4286719870019043
genre_rock-n-roll,0.41239037707515724,0.41239037707515724
instrumentalness,-0.408785141925293,0.408785141925293
genre_salsa,-0.40839468422462966,0.40839468422462966
liveness,-0.40465718658293115,0.40465718658293115
mode,-0.39284084778324857,0.39284084778324857
genre_techno,0.3858129288845618,0.3858129288845618
genre_trance,0.37576487300755557,0.37576487300755557
speechiness,-0.3697058093463145,0.3697058093463145
genre_j-pop,0.364303890336534,0.364303890336534
genre_malay,-0.34949151535462775,0.34949151535462775
genre_rockabilly,-0.34725567466058005,0.34725567466058005
genre_hardcore,0.3349764505462053,0.3349764505462053
genre_sleep,0.32754327141226014,0.32754327141226014
genre_new-age,-0.30881973820341235,0.30881973820341235
genre_guitar,-0.30777981890247774,0.30777981890247774
genre_j-rock,0.291199286123737,0.291199286123737
genre_swedish,0.28672467598630713,0.28672467598630713
time_signature,0.2774145544138058,0.2774145544138058
genre_ska,0.27633782108042504,0.27633782108042504
loudness,0.26665834595660254,0.26665834595660254
genre_synth-pop,0.20551677131864482,0.20551677131864482
genre_show-tunes,-0.20236665324429637,0.20236665324429637
genre_children,0.20055195985516733,0.20055195985516733
energy_missing,0.16105238593957724,0.16105238593957724
loudness_missing,0.14968758317723505,0.14968758317723505
tempo,0.1416141785217051,0.1416141785217051
genre_funk,0.1339388373553021,0.1339388373553021
genre_groove,0.12935375386201475,0.12935375386201475
genre_cantopop,0.11943180786182966,0.11943180786182966
genre_german,-0.11338396858621241,0.11338396858621241
genre_blues,-0.10996494422806469,0.10996494422806469
genre_industrial,-0.10880354052394742,0.10880354052394742
genre_minimal-techno,-0.10863804469967941,0.10863804469967941
tempo_missing,0.10048215704778007,0.10048215704778007
instrumentalness_missing,0.09751174838135634,0.09751174838135634
danceability_missing,-0.0941039738039034,0.0941039738039034
genre_trip-hop,0.09143413313676618,0.09143413313676618
liveness_missing,0.07654103051890626,0.07654103051890626
duration_ms,-0.06816952018242796,0.06816952018242796
genre_dancehall,0.05881647262959788,0.05881647262959788
valence_missing,-0.04452087811716954,0.04452087811716954
key_missing,-0.04205823133190967,0.04205823133190967
key,-0.03888821889750941,0.03888821889750941
genre_club,-0.03318416697857812,0.03318416697857812
duration_ms_missing,0.031552378995770125,0.031552378995770125
genre_disco,0.029158156079901965,0.029158156079901965
genre_death-metal,-0.0283292753683837,0.0283292753683837
time_signature_missing,-0.025780064514794754,0.025780064514794754
mode_missing,0.02311922344125994,0.02311922344125994
genre_alt-rock,0.022968963540017318,0.022968963540017318
speechiness_missing,0.012918052480648479,0.012918052480648479
acousticness_missing,0.009037287679531492,0.009037287679531492
genre_electro,-0.0037769215729936967,0.0037769215729936967
