feature,coef,abs_coef
genre_iranian,-3.518017695701311,3.518017695701311
genre_romance,-3.226040410912273,3.226040410912273
genre_detroit-techno,-2.54409700810056,2.54409700810056
genre_chicago-house,-2.4518143238033923,2.4518143238033923
genre_latin,-2.4039910921854433,2.4039910921854433
genre_k-pop,2.293949347312102,2.293949347312102
genre_grindcore,-2.238377765899627,2.238377765899627
genre_classical,-2.212551093309334,2.212551093309334
genre_pop-film,2.210898226847597,2.210898226847597
genre_kids,-2.201907503736245,2.201907503736245
genre_idm,-2.096545989396092,2.096545989396092
genre_honky-tonk,-1.996562019453235,1.996562019453235
genre_jazz,-1.9514616857811897,1.9514616857811897
genre_country,-1.896653651597625,1.896653651597625
genre_chill,1.809146544252017,1.809146544252017
genre_tango,-1.6788206839496678,1.6788206839496678
genre_breakbeat,-1.6590326940113893,1.6590326940113893
genre_happy,-1.450373319468663,1.450373319468663
genre_black-metal,-1.4232417662170493,1.4232417662170493
genre_grunge,1.3767735999770245,1.3767735999770245
genre_anime,1.357067183736563,1.357067183736563
genre_dance,-1.3552387413530202,1.3552387413530202
genre_emo,1.3402993669333636,1.3402993669333636
genre_party,-1.2887698105516308,1.2887698105516308
genre_indian,1.2614441731497197,1.2614441731497197
genre_sad,1.2167391683205206,1.2167391683205206
genre_rock,-1.1517322060861483,1.1517322060861483
genre_opera,-1.1203457469912097,1.1203457469912097
genre_latino,0.9975641804664054,0.9975641804664054
genre_alternative,-0.9377435580119082,0.9377435580119082
