feature,coef,abs_coef
genre_iranian,-3.5207650258740015,3.5207650258740015
genre_romance,-3.228546632358952,3.228546632358952
genre_detroit-techno,-2.5460666796485643,2.5460666796485643
genre_chicago-house,-2.453713931497365,2.453713931497365
genre_latin,-2.4058263237977444,2.4058263237977444
genre_k-pop,2.2952198902543577,2.2952198902543577
genre_grindcore,-2.2401106266921245,2.2401106266921245
genre_classical,-2.21424734173586,2.21424734173586
genre_pop-film,2.212114515524902,2.212114515524902
genre_kids,-2.2036125614307376,2.2036125614307376
genre_idm,-2.098167239307686,2.098167239307686
genre_honky-tonk,-1.99810151345626,1.99810151345626
genre_jazz,-1.9529046261091425,1.9529046261091425
genre_country,-1.8981136708554793,1.8981136708554793
genre_chill,1.8100256389302793,1.8100256389302793
genre_tango,-1.6801144785512687,1.6801144785512687
genre_breakbeat,-1.6603042850616279,1.6603042850616279
genre_happy,-1.4514816494215275,1.4514816494215275
genre_black-metal,-1.4243296041529117,1.4243296041529117
genre_grunge,1.377325783122337,1.377325783122337
genre_anime,1.3575846137262546,1.3575846137262546
genre_dance,-1.3562686813989686,1.3562686813989686
genre_emo,1.3408117420569694,1.3408117420569694
genre_party,-1.2897298405294177,1.2897298405294177
genre_indian,1.2619238678694351,1.2619238678694351
genre_sad,1.2172109450448074,1.2172109450448074
genre_rock,-1.1525036958669674,1.1525036958669674
genre_opera,-1.1211767040880105,1.1211767040880105
genre_latino,0.9978979881615344,0.9978979881615344
genre_alternative,-0.9383531250846934,0.9383531250846934
