feature,coef,abs_coef
genre_iranian,-3.521348248926886,3.521348248926886
genre_romance,-3.2291250023211924,3.2291250023211924
genre_detroit-techno,-2.546649611552513,2.546649611552513
genre_chicago-house,-2.4543003459704087,2.4543003459704087
genre_latin,-2.406398419031654,2.406398419031654
genre_k-pop,2.2956303208335376,2.2956303208335376
genre_grindcore,-2.240694652931527,2.240694652931527
genre_classical,-2.2148276886402054,2.2148276886402054
genre_pop-film,2.2125295127906863,2.2125295127906863
genre_kids,-2.2041949646874333,2.2041949646874333
genre_idm,-2.0987503587880383,2.0987503587880383
genre_honky-tonk,-1.9986839948683002,1.9986839948683002
genre_jazz,-1.9534660104859243,1.9534660104859243
genre_country,-1.898698423775759,1.898698423775759
genre_chill,1.8104291135640258,1.8104291135640258
genre_tango,-1.680696884436273,1.680696884436273
genre_breakbeat,-1.6608910792045404,1.6608910792045404
genre_happy,-1.4520647568561869,1.4520647568561869
genre_black-metal,-1.4249180641434938,1.4249180641434938
genre_grunge,1.3777376284263712,1.3777376284263712
genre_anime,1.3579838252123793,1.3579838252123793
genre_dance,-1.3568524549194865,1.3568524549194865
genre_emo,1.3412189905166707,1.3412189905166707
genre_party,-1.2903047299735413,1.2903047299735413
genre_indian,1.2623434657779193,1.2623434657779193
genre_sad,1.2176415416910207,1.2176415416910207
genre_rock,-1.1530530989341083,1.1530530989341083
genre_opera,-1.1217530905062836,1.1217530905062836
genre_latino,0.9983410889541735,0.9983410889541735
genre_alternative,-0.9389106670805376,0.9389106670805376
