feature,coef,abs_coef
genre_iranian,-3.515637422564499,3.515637422564499
genre_romance,-3.2238645271821174,3.2238645271821174
genre_detroit-techno,-2.542371865240424,2.542371865240424
genre_chicago-house,-2.450146893785627,2.450146893785627
genre_latin,-2.4023816941319502,2.4023816941319502
genre_k-pop,2.29283420586199,2.29283420586199
genre_grindcore,-2.23685253284513,2.23685253284513
genre_classical,-2.2110564219391837,2.2110564219391837
genre_pop-film,2.209828075885285,2.209828075885285
genre_kids,-2.200406715053211,2.200406715053211
genre_idm,-2.0951154617887915,2.0951154617887915
genre_honky-tonk,-1.9952004283837592,1.9952004283837592
genre_jazz,-1.9501842453496214,1.9501842453496214
genre_country,-1.8953578575679904,1.8953578575679904
genre_chill,1.8083641447152956,1.8083641447152956
genre_tango,-1.6776671645660521,1.6776671645660521
genre_breakbeat,-1.6578947231632355,1.6578947231632355
genre_happy,-1.4493752502807413,1.4493752502807413
genre_black-metal,-1.422258293850597,1.422258293850597
genre_grunge,1.3762648473811216,1.3762648473811216
genre_anime,1.3565914908393497,1.3565914908393497
genre_dance,-1.354306037177758,1.354306037177758
genre_emo,1.3398249858715998,1.3398249858715998
genre_party,-1.287898482029859,1.287898482029859
genre_indian,1.2609953083304974,1.2609953083304974
genre_sad,1.2162952928951825,1.2162952928951825
genre_rock,-1.1510227370576913,1.1510227370576913
genre_opera,-1.1195830895723686,1.1195830895723686
genre_latino,0.997235492810282,0.997235492810282
genre_alternative,-0.9371675416898235,0.9371675416898235
