variant,model,rmse,mae,r2
all_features,ols,17.009100466795175,12.14701310379497,0.32516015940490484
all_features,ridge,17.009151449614034,12.150085638574048,0.3251561138895077
all_features,elasticnet,17.009847324566056,12.164913042040375,0.32510089460775893
all_features,lasso,17.009937940406036,12.163883813788205,0.325093703865706
feature_selection_rfe_30,ridge,17.959512349245355,13.853686437867427,0.24763756773370227
feature_selection_rfe_30,elasticnet,17.959526575777968,13.852617777046062,0.24763637577339603
feature_selection_rfe_30,lasso,17.959543986472614,13.85140808877611,0.24763491702896678
feature_selection_rfe_30,ols,17.959562611542847,13.850962024537807,0.24763335653725393
pca_all_features,ridge,17.13944387375304,12.280100737169253,0.3124402497989872
pca_all_features,ols,17.139446642474603,12.276927128654954,0.31244002766089773
pca_all_features,elasticnet,17.139463123096068,12.279006939894431,0.3124387053987123
pca_all_features,lasso,17.139545369511268,12.27874097245495,0.3124321066403982
pca_continuous_only,ols,20.454081724448546,17.00610907913256,0.02078746017322297
pca_continuous_only,lasso,20.4541112411362,17.00633777855012,0.020784634025177717
pca_continuous_only,ridge,20.454148835379822,17.006431990095468,0.020781034465713
pca_continuous_only,elasticnet,20.45451741517051,17.00831198045612,0.020745743476474843
