component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.21644435291802527,0.21644435291802527
2,0.12900400166507706,0.3454483545831023
3,0.08081473834668922,0.42626309292979153
4,0.07156494720088455,0.49782804013067605
5,0.06964024032507471,0.5674682804557507
6,0.062347945877825245,0.6298162263335759
7,0.05877209791477696,0.6885883242483529
8,0.05216291825368091,0.7407512425020338
9,0.05015862861299167,0.7909098711150255
10,0.047703319546519116,0.8386131906615446
11,0.04500731571097274,0.8836205063725173
12,0.04038530593637793,0.9240058123088952
13,0.029127936767719097,0.9531337490766143
